isbn10,title,subtitle,author_first,author_last,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
0671021001,She's Come Undone,,Wally,Lamb,Fiction,http://books.google.com/books/content?id=Oj3qixCHJNMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",1998,3.86,465,281643
0061142026,Stardust,,Neil,Gaiman,Fiction,http://books.google.com/books/content?id=NQ_cSYevzAEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Young Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky. But to do so, he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name. Beyond that old stone wall, Tristran learns, lies Faerie—where nothing, not even a fallen star, is what he imagined. From #1 New York Times bestselling author Neil Gaiman comes a remarkable quest into the dark and miraculous—in pursuit of love and the utterly impossible.",2006,4.08,248,264799
0743223136,John Adams,,David,McCullough,Biography & Autobiography,http://books.google.com/books/content?id=mtBkcldvD3cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Pulitzer Prize–winning, bestselling biography of America’s founding father and second president that was the basis for the acclaimed HBO series, brilliantly told by master historian David McCullough. In this powerful, epic biography, David McCullough unfolds the adventurous life journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot who spared nothing in his zeal for the American Revolution; who rose to become the second president of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as “out of his senses”; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. This is history on a grand scale—a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship, and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",2002,4.06,751,264047
0060775858,Goodnight Moon 60th Anniversary Edition,,Margaret,Brown,Juvenile Fiction,http://books.google.com/books/content?id=lLYOrikgtJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to themittens and the kittens, toeverything one by one -- the little bunny says goodnight. In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",2005,4.27,32,264013
1400033411,Beloved,A Novel,Toni,Morrison,Fiction,http://books.google.com/books/content?id=Ann5ugJilcMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sethe, an escaped slave living in post-Civil War Ohio with her daughter and mother-in-law, is haunted persistently by the ghost of the dead baby girl whom she sacrificed, in a new edition of the Nobel Laureate's Pulitzer Prize-winning novel. Reader's Guide available. Reprint. 60,000 first printing.",2004,3.81,324,263625
0743477553,Othello,,William,Shakespeare,Drama,http://books.google.com/books/content?id=f4zGDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In Othello, Shakespeare creates powerful drama from a marriage between the exotic Moor Othello and the Venetian lady Desdemona that begins with elopement and mutual devotion and ends with jealous rage and death. Shakespeare builds many differences into his hero and heroine, including race, age, and cultural background. Yet most readers and audiences believe the couple's strong love would overcome these differences were it not for Iago, who sets out to destroy Othello. Iago's false insinuations about Desdemona's infidelity draw Othello into his schemes, and Desdemona is subjected to Othello's horrifying verbal and physical assaults. The authoritative edition of Othello from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, is now available as an ebook. Features include: · The exact text of the printed book for easy cross-reference · Hundreds of hypertext links for instant navigation · Freshly edited text based on the best early printed version of the play · Full explanatory notes conveniently placed on pages facing the text of the play · Scene-by-scene plot summaries · A key to famous lines and phrases · An introduction to reading Shakespeare’s language · Illustrations from the Folger Shakespeare Library’s vast holdings of rare books · An essay by a leading Shakespeare scholar providing a modern perspective on the pla",1993,3.88,314,261813
0679785892,Fear and Loathing in Las Vegas,A Savage Journey to the Heart of the American Dream,Hunter,Thompson,Biography & Autobiography,http://books.google.com/books/content?id=VN-JDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Records the experiences of a free-lance writer who embarked on a zany journey into the drug culture,1998,4.08,204,259867
0446696617,1st to Die,,James,Patterson,Fiction,,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",2005,4.07,424,259028
0439227143,The Call of the Wild,,Jack,London,Juvenile Fiction,http://books.google.com/books/content?id=j6L-qusnoTUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"When Buck is stolen from his kind family, he must quickly learn a new set of survival rules as he is taken away to the gold-crazed North by unsavory men. Original.",2000,3.85,172,255627
0590032496,The witches,,Roald,Dahl,Juvenile Nonfiction,http://books.google.com/books/content?id=tpQxolGFYSkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young boy and his Norwegian grandmother, who is an expert on witches, together foil a witches' plot to destroy the world's children by turning them into mice.",1997,4.17,208,254867
0451216954,Dark Lover,A Novel of the Black Dagger Brotherhood,J.R.,Ward,Fiction,http://books.google.com/books/content?id=6dP7ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When one of his most trusted fighters is killed, orphaning a half-breed daughter, Wrath, the only purebred vampire left on Earth, finds Beth Randall and ushers her into the world of the undead where she must fulfill her destiny by his side. Original.",2005,4.2,393,250693
0552135399,A Prayer for Owen Meany,,John,Irving,American fiction,http://books.google.com/books/content?id=BrzEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'If you care about something you have to protect it. If you're lucky enough to find a way of life you love, you have to find the courage to live it.' Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul ball is both extraordinary and terrifying.",1990,4.23,637,246360
