isbn10,title,subtitle,author_first,author_last,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
0439554934,Harry Potter and the Sorcerer's Stone (Book 1),,J.K.,Rowling,Juvenile Fiction,http://books.google.com/books/content?id=9jA0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tries to deliver a mysterious letter—the first of a sequence of events that end in Harry meeting a giant man named Hagrid. Hagrid explains Harry's history to him: When he was a baby, the Dark wizard, Lord Voldemort, attacked and killed his parents in an attempt to kill Harry; but the only mark on Harry was a mysterious lightning-bolt scar on his forehead. Now he has been invited to attend Hogwarts School of Witchcraft and Wizardry, where the headmaster is the great wizard Albus Dumbledore. Harry visits Diagon Alley to get his school supplies, especially his very own wand. To get to school, he takes the Hogwarts Express from platform nine and three-quarters at King's Cross Station. On the train, he meets two fellow students who will become his closest friends: Ron Weasley and Hermione Granger. Harry is assigned to Gryffindor House at Hogwarts, and soon becomes the youngest-ever Seeker on the House Quidditch team. He also studies Potions with Professor Severus Snape, who displays a deep and abiding dislike for Harry, and Defense Against the Dark Arts with nervous Professor Quirrell; he and his friends defeat a mountain troll, help Hagrid raise a dragon, and explore the wonderful, fascinating world of Hogwarts. But all events lead irrevocably toward a second encounter with Lord Voldemort, who seeks an object of legend known as the Sorcerer's Stone…",2015,4.47,320,5629932
0316015849,Twilight,,Stephenie,Meyer,Young Adult Fiction,,"With 160 million copies of the Twilight Saga sold worldwide, this addictive love story between a teenage girl and a vampire redefined romance for a generation. Here's the book that started it all. Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn. Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear. The lovers find themselves balanced precariously on the point of a knife-between desire and danger. Deeply romantic and extraordinarily suspenseful, Twilightcaptures the struggle between defying our instincts and satisfying our desires. This is a love story with bite. ""People do not want to just read Meyer's books; they want to climb inside them and live there.""-Time ""A literary phenomenon.""-The New York Times",2006,3.59,498,4367341
0618260307,"The Hobbit, Or, There and Back Again",,J.R.R.,Tolkien,Juvenile Fiction,http://books.google.com/books/content?id=ljWL5A7D2JAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A newly rejacketed edition of the classic tale chronicles the adventures of the inhabitants of Middle-earth and of Bilbo Baggins, the hobbit who brought home to The Shire the One Ring of Power.",2001,4.26,366,2364968
1416524797,Angels & Demons,,Dan,Brown,Fiction,,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican.",2006,3.88,736,2279854
043965548X,Harry Potter and the Prisoner of Azkaban (Book 3),,J.K.,Rowling,Juvenile Fiction,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…",2015,4.55,435,2149872
0439064864,Harry Potter and the Chamber of Secrets (Book 2),,J.K.,Rowling,Juvenile Fiction,http://books.google.com/books/content?id=ZTE0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s first year at Hogwarts has been his worst summer ever… the Dursleys more distant and horrible than ever before. But just as he’s packing his bags to return to school, a creature named Dobby the house-elf announces that if Harry goes back to Hogwarts, disaster will strike. And it turns out, Dobby is right. Harry and Ron miss the Hogwarts Express, so they fly to school in a blue Ford Anglia, crash landing in the notorious Whomping Willow. Soon other worries accumulate: the outrageously stuck-up new professor Gilderoy Lockhart; a ghost named Moaning Myrtle, who haunts the girls' bathroom; the strange behavior of Ron's little sister, Ginny Weasley; rumors about the ""Chamber of Secrets,"" a cavern buried deep below Hogwarts; and a magical diary owned by Tom Riddle, a Hogwarts student of long ago. Harry is also shocked to discover that he can speak Parseltongue, the language of snakes - a rare ability that Lord Voldemort also possessed - and that anti-Muggle prejudice exists in the Wizarding world, even affecting Harry's friend Hermione. But all of these seem like minor concerns when someone starts turning Hogwarts students to stone: an evildoer said to be the fearsome Heir of Salazar Slytherin, on of the founders of the school. Could it be Draco Malfoy, Harry's most poisonous rival? Could it be Hagrid whose mysterious past is finally told? Or could it be the one person everyone at Hogwarts most suspects: Harry Potter himself?",2015,4.41,341,2115562
0618346252,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,J.R.R.,Tolkien,Fiction,http://books.google.com/books/content?id=S35cUR-u4y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After discovering the true nature of the One Ring, Bilbo Baggins entrusts it to the care of his young cousin, Frodo, who is charged with bringing about its destruction and thus foiling the plans of the Dark Lord.",2003,4.35,398,2009749
0439358078,Harry Potter and the Order of the Phoenix (Book 5),,J.K.,Rowling,Juvenile Fiction,http://books.google.com/books/content?id=OIJ5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Order of the Phoenix, Lord Voldemort has returned to the Wizarding world, presenting a threat that neither the magical government nor the authorities at Hogwarts can stop. In response to his reappearance, Dumbledore reactivates the Order of the Phoenix, a secret society which works to defeat the Dark Lord's minions and protect his targets—especially Harry Potter. But Harry doesn’t want to be protected. Even as the Ministry of Magic denies his claims, The Daily Prophet discredits him, and even Dumbledore won’t look him in the eye, Harry grows more and more determined to fight his lifelong enemy Voldemort—if only he had the “weapon” the Order is guarding. In the meantime, he visits his godfather at his ghoulish London home, Grimmauld Place, and learns more about Voldemort’s deep reach into Wizarding history and the Wizarding world. Back at Hogwarts, Harry must deal with a Defense Against the Dark Arts teacher with a personality like poisoned honey; a surprising new member of the Gryffindor Quidditch team; the possibility of his first real romance; and the looming nightmare of the Ordinary Wizarding Level exams. He’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young Severus Snape that changes everything he thought he knew about them. Even the joy of working with ""Dumbledore's Army"" -a group of Hogwart's students dedicated to defeating Voldemort- can't dispel the gathering darkness. Soon Harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. His fate depends on them all.",2015,4.49,870,1996446
0439785960,Harry Potter and the Half-Blood Prince (Book 6),,J.K.,Rowling,Juvenile Fiction,http://books.google.com/books/content?id=QzI0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on. Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.",2015,4.56,652,1944099
0140283331,Lord of the Flies,,William,Golding,Fiction,,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,1999,3.67,182,1861140
